Geography,County,State
"Champaign County, Illinois",Champaign County,Illinois
"Christian County, Illinois",Christian County,Illinois
"Clark County, Illinois",Clark County,Illinois
"Clay County, Illinois",Clay County,Illinois
"Clinton County, Illinois",Clinton County,Illinois
"Coles County, Illinois",Coles County,Illinois
"Cook County, Illinois",Cook County,Illinois
"Crawford County, Illinois",Crawford County,Illinois
"Cumberland County, Illinois",Cumberland County,Illinois
"DeKalb County, Illinois",DeKalb County,Illinois
"De Witt County, Illinois",De Witt County,Illinois
"Douglas County, Illinois",Douglas County,Illinois
"DuPage County, Illinois",DuPage County,Illinois
"Edgar County, Illinois",Edgar County,Illinois
"Edwards County, Illinois",Edwards County,Illinois
"Effingham County, Illinois",Effingham County,Illinois
"Fayette County, Illinois",Fayette County,Illinois
"Ford County, Illinois",Ford County,Illinois
"Franklin County, Illinois",Franklin County,Illinois
"Fulton County, Illinois",Fulton County,Illinois
"Gallatin County, Illinois",Gallatin County,Illinois
"Greene County, Illinois",Greene County,Illinois
"Grundy County, Illinois",Grundy County,Illinois
"Hamilton County, Illinois",Hamilton County,Illinois
"Hancock County, Illinois",Hancock County,Illinois
"Hardin County, Illinois",Hardin County,Illinois
"Henderson County, Illinois",Henderson County,Illinois
"Henry County, Illinois",Henry County,Illinois
"Iroquois County, Illinois",Iroquois County,Illinois
"Jackson County, Illinois",Jackson County,Illinois
"Jasper County, Illinois",Jasper County,Illinois
"Jefferson County, Illinois",Jefferson County,Illinois
"Jersey County, Illinois",Jersey County,Illinois
"Jo Daviess County, Illinois",Jo Daviess County,Illinois
"Johnson County, Illinois",Johnson County,Illinois
"Kane County, Illinois",Kane County,Illinois
"Kankakee County, Illinois",Kankakee County,Illinois
"Kendall County, Illinois",Kendall County,Illinois
"Knox County, Illinois",Knox County,Illinois
"Lake County, Illinois",Lake County,Illinois
"LaSalle County, Illinois",LaSalle County,Illinois
"Lawrence County, Illinois",Lawrence County,Illinois
"Lee County, Illinois",Lee County,Illinois
"Livingston County, Illinois",Livingston County,Illinois
"Logan County, Illinois",Logan County,Illinois
"McDonough County, Illinois",McDonough County,Illinois
"McHenry County, Illinois",McHenry County,Illinois
"McLean County, Illinois",McLean County,Illinois
"Macon County, Illinois",Macon County,Illinois
"Macoupin County, Illinois",Macoupin County,Illinois
"Madison County, Illinois",Madison County,Illinois
"Marion County, Illinois",Marion County,Illinois
"Marshall County, Illinois",Marshall County,Illinois
"Mason County, Illinois",Mason County,Illinois
"Massac County, Illinois",Massac County,Illinois
"Menard County, Illinois",Menard County,Illinois
"Mercer County, Illinois",Mercer County,Illinois
"Monroe County, Illinois",Monroe County,Illinois
"Montgomery County, Illinois",Montgomery County,Illinois
"Morgan County, Illinois",Morgan County,Illinois
"Moultrie County, Illinois",Moultrie County,Illinois
"Ogle County, Illinois",Ogle County,Illinois
"Peoria County, Illinois",Peoria County,Illinois
"Perry County, Illinois",Perry County,Illinois
"Piatt County, Illinois",Piatt County,Illinois
"Pike County, Illinois",Pike County,Illinois
"Pope County, Illinois",Pope County,Illinois
"Pulaski County, Illinois",Pulaski County,Illinois
"Putnam County, Illinois",Putnam County,Illinois
"Randolph County, Illinois",Randolph County,Illinois
"Richland County, Illinois",Richland County,Illinois
"Rock Island County, Illinois",Rock Island County,Illinois
"St. Clair County, Illinois",St. Clair County,Illinois
"Saline County, Illinois",Saline County,Illinois
"Sangamon County, Illinois",Sangamon County,Illinois
"Schuyler County, Illinois",Schuyler County,Illinois
"Scott County, Illinois",Scott County,Illinois
"Shelby County, Illinois",Shelby County,Illinois
"Stark County, Illinois",Stark County,Illinois
"Stephenson County, Illinois",Stephenson County,Illinois
"Tazewell County, Illinois",Tazewell County,Illinois
"Union County, Illinois",Union County,Illinois
"Vermilion County, Illinois",Vermilion County,Illinois
"Wabash County, Illinois",Wabash County,Illinois
"Warren County, Illinois",Warren County,Illinois
"Washington County, Illinois",Washington County,Illinois
"Wayne County, Illinois",Wayne County,Illinois
"White County, Illinois",White County,Illinois
"Whiteside County, Illinois",Whiteside County,Illinois
"Will County, Illinois",Will County,Illinois
"Williamson County, Illinois",Williamson County,Illinois
"Winnebago County, Illinois",Winnebago County,Illinois
"Woodford County, Illinois",Woodford County,Illinois
"Adams County, Indiana",Adams County,Indiana
"Allen County, Indiana",Allen County,Indiana
"Bartholomew County, Indiana",Bartholomew County,Indiana
"Benton County, Indiana",Benton County,Indiana
"Blackford County, Indiana",Blackford County,Indiana
"Boone County, Indiana",Boone County,Indiana
"Brown County, Indiana",Brown County,Indiana
"Carroll County, Indiana",Carroll County,Indiana
"Cass County, Indiana",Cass County,Indiana
"Clark County, Indiana",Clark County,Indiana
"Clay County, Indiana",Clay County,Indiana
"Clinton County, Indiana",Clinton County,Indiana
"Crawford County, Indiana",Crawford County,Indiana
"Daviess County, Indiana",Daviess County,Indiana
"Dearborn County, Indiana",Dearborn County,Indiana
"Decatur County, Indiana",Decatur County,Indiana
"DeKalb County, Indiana",DeKalb County,Indiana
"Delaware County, Indiana",Delaware County,Indiana
"Dubois County, Indiana",Dubois County,Indiana
"Elkhart County, Indiana",Elkhart County,Indiana
"Fayette County, Indiana",Fayette County,Indiana
"Floyd County, Indiana",Floyd County,Indiana
"Fountain County, Indiana",Fountain County,Indiana
"Franklin County, Indiana",Franklin County,Indiana
"Fulton County, Indiana",Fulton County,Indiana
"Gibson County, Indiana",Gibson County,Indiana
"Grant County, Indiana",Grant County,Indiana
"Greene County, Indiana",Greene County,Indiana
"Hamilton County, Indiana",Hamilton County,Indiana
"Hancock County, Indiana",Hancock County,Indiana
"Harrison County, Indiana",Harrison County,Indiana
"Hendricks County, Indiana",Hendricks County,Indiana
"Henry County, Indiana",Henry County,Indiana
"Howard County, Indiana",Howard County,Indiana
"Huntington County, Indiana",Huntington County,Indiana
"Jackson County, Indiana",Jackson County,Indiana
"Jasper County, Indiana",Jasper County,Indiana
"Jay County, Indiana",Jay County,Indiana
"Jefferson County, Indiana",Jefferson County,Indiana
"Jennings County, Indiana",Jennings County,Indiana
"Johnson County, Indiana",Johnson County,Indiana
"Knox County, Indiana",Knox County,Indiana
"Kosciusko County, Indiana",Kosciusko County,Indiana
"LaGrange County, Indiana",LaGrange County,Indiana
"Lake County, Indiana",Lake County,Indiana
"LaPorte County, Indiana",LaPorte County,Indiana
"Lawrence County, Indiana",Lawrence County,Indiana
"Madison County, Indiana",Madison County,Indiana
"Marion County, Indiana",Marion County,Indiana
"Marshall County, Indiana",Marshall County,Indiana
"Martin County, Indiana",Martin County,Indiana
"Miami County, Indiana",Miami County,Indiana
"Monroe County, Indiana",Monroe County,Indiana
"Montgomery County, Indiana",Montgomery County,Indiana
"Morgan County, Indiana",Morgan County,Indiana
"Newton County, Indiana",Newton County,Indiana
"Noble County, Indiana",Noble County,Indiana
"Ohio County, Indiana",Ohio County,Indiana
"Orange County, Indiana",Orange County,Indiana
"Owen County, Indiana",Owen County,Indiana
"Parke County, Indiana",Parke County,Indiana
"Perry County, Indiana",Perry County,Indiana
"Pike County, Indiana",Pike County,Indiana
"Porter County, Indiana",Porter County,Indiana
"Posey County, Indiana",Posey County,Indiana
"Pulaski County, Indiana",Pulaski County,Indiana
"Putnam County, Indiana",Putnam County,Indiana
"Randolph County, Indiana",Randolph County,Indiana
"Ripley County, Indiana",Ripley County,Indiana
"Rush County, Indiana",Rush County,Indiana
"St. Joseph County, Indiana",St. Joseph County,Indiana
"Scott County, Indiana",Scott County,Indiana
"Shelby County, Indiana",Shelby County,Indiana
"Spencer County, Indiana",Spencer County,Indiana
"Starke County, Indiana",Starke County,Indiana
"Steuben County, Indiana",Steuben County,Indiana
"Sullivan County, Indiana",Sullivan County,Indiana
"Switzerland County, Indiana",Switzerland County,Indiana
"Tippecanoe County, Indiana",Tippecanoe County,Indiana
"Tipton County, Indiana",Tipton County,Indiana
"Union County, Indiana",Union County,Indiana
"Vanderburgh County, Indiana",Vanderburgh County,Indiana
"Vermillion County, Indiana",Vermillion County,Indiana
"Vigo County, Indiana",Vigo County,Indiana
"Wabash County, Indiana",Wabash County,Indiana
"Warren County, Indiana",Warren County,Indiana
"Warrick County, Indiana",Warrick County,Indiana
"Washington County, Indiana",Washington County,Indiana
"Wayne County, Indiana",Wayne County,Indiana
"Wells County, Indiana",Wells County,Indiana
"White County, Indiana",White County,Indiana
"Whitley County, Indiana",Whitley County,Indiana
"Adair County, Iowa",Adair County,Iowa
"Adams County, Iowa",Adams County,Iowa
"Allamakee County, Iowa",Allamakee County,Iowa
"Appanoose County, Iowa",Appanoose County,Iowa
"Audubon County, Iowa",Audubon County,Iowa
"Benton County, Iowa",Benton County,Iowa
"Black Hawk County, Iowa",Black Hawk County,Iowa
"Boone County, Iowa",Boone County,Iowa
"Bremer County, Iowa",Bremer County,Iowa
"Buchanan County, Iowa",Buchanan County,Iowa
"Buena Vista County, Iowa",Buena Vista County,Iowa
"Butler County, Iowa",Butler County,Iowa
"Calhoun County, Iowa",Calhoun County,Iowa
"Carroll County, Iowa",Carroll County,Iowa
"Cass County, Iowa",Cass County,Iowa
"Cedar County, Iowa",Cedar County,Iowa
"Cerro Gordo County, Iowa",Cerro Gordo County,Iowa
"Cherokee County, Iowa",Cherokee County,Iowa
"Chickasaw County, Iowa",Chickasaw County,Iowa
"Clarke County, Iowa",Clarke County,Iowa
"Clay County, Iowa",Clay County,Iowa
"Clayton County, Iowa",Clayton County,Iowa
"Clinton County, Iowa",Clinton County,Iowa
"Crawford County, Iowa",Crawford County,Iowa
"Dallas County, Iowa",Dallas County,Iowa
"Davis County, Iowa",Davis County,Iowa
"Decatur County, Iowa",Decatur County,Iowa
"Delaware County, Iowa",Delaware County,Iowa
"Des Moines County, Iowa",Des Moines County,Iowa
"Dickinson County, Iowa",Dickinson County,Iowa
"Dubuque County, Iowa",Dubuque County,Iowa
"Emmet County, Iowa",Emmet County,Iowa
"Fayette County, Iowa",Fayette County,Iowa
"Floyd County, Iowa",Floyd County,Iowa
"Franklin County, Iowa",Franklin County,Iowa
"Fremont County, Iowa",Fremont County,Iowa
"Greene County, Iowa",Greene County,Iowa
"Grundy County, Iowa",Grundy County,Iowa
"Guthrie County, Iowa",Guthrie County,Iowa
"Hamilton County, Iowa",Hamilton County,Iowa
"Hancock County, Iowa",Hancock County,Iowa
"Hardin County, Iowa",Hardin County,Iowa
"Harrison County, Iowa",Harrison County,Iowa
"Henry County, Iowa",Henry County,Iowa
"Howard County, Iowa",Howard County,Iowa
"Humboldt County, Iowa",Humboldt County,Iowa
"Ida County, Iowa",Ida County,Iowa
"Iowa County, Iowa",Iowa County,Iowa
"Jackson County, Iowa",Jackson County,Iowa
"Jasper County, Iowa",Jasper County,Iowa
"Jefferson County, Iowa",Jefferson County,Iowa
"Johnson County, Iowa",Johnson County,Iowa
"Jones County, Iowa",Jones County,Iowa
"Keokuk County, Iowa",Keokuk County,Iowa
"Kossuth County, Iowa",Kossuth County,Iowa
"Lee County, Iowa",Lee County,Iowa
"Linn County, Iowa",Linn County,Iowa
"Louisa County, Iowa",Louisa County,Iowa
"Lucas County, Iowa",Lucas County,Iowa
"Lyon County, Iowa",Lyon County,Iowa
"Madison County, Iowa",Madison County,Iowa
"Mahaska County, Iowa",Mahaska County,Iowa
"Marion County, Iowa",Marion County,Iowa
"Marshall County, Iowa",Marshall County,Iowa
"Mills County, Iowa",Mills County,Iowa
"Mitchell County, Iowa",Mitchell County,Iowa
"Monona County, Iowa",Monona County,Iowa
"Monroe County, Iowa",Monroe County,Iowa
"Montgomery County, Iowa",Montgomery County,Iowa
"Muscatine County, Iowa",Muscatine County,Iowa
"O'Brien County, Iowa",O'Brien County,Iowa
"Osceola County, Iowa",Osceola County,Iowa
"Page County, Iowa",Page County,Iowa
"Palo Alto County, Iowa",Palo Alto County,Iowa
"Plymouth County, Iowa",Plymouth County,Iowa
"Pocahontas County, Iowa",Pocahontas County,Iowa
"Polk County, Iowa",Polk County,Iowa
"Pottawattamie County, Iowa",Pottawattamie County,Iowa
"Poweshiek County, Iowa",Poweshiek County,Iowa
"Ringgold County, Iowa",Ringgold County,Iowa
"Sac County, Iowa",Sac County,Iowa
"Scott County, Iowa",Scott County,Iowa
"Shelby County, Iowa",Shelby County,Iowa
"Sioux County, Iowa",Sioux County,Iowa
"Story County, Iowa",Story County,Iowa
"Tama County, Iowa",Tama County,Iowa
"Taylor County, Iowa",Taylor County,Iowa
"Union County, Iowa",Union County,Iowa
"Van Buren County, Iowa",Van Buren County,Iowa
"Wapello County, Iowa",Wapello County,Iowa
"Warren County, Iowa",Warren County,Iowa
"Washington County, Iowa",Washington County,Iowa
"Wayne County, Iowa",Wayne County,Iowa
"Webster County, Iowa",Webster County,Iowa
"Winnebago County, Iowa",Winnebago County,Iowa
"Winneshiek County, Iowa",Winneshiek County,Iowa
"Woodbury County, Iowa",Woodbury County,Iowa
"Worth County, Iowa",Worth County,Iowa
"Wright County, Iowa",Wright County,Iowa
"Allen County, Kansas",Allen County,Kansas
"Anderson County, Kansas",Anderson County,Kansas
"Atchison County, Kansas",Atchison County,Kansas
"Barber County, Kansas",Barber County,Kansas
"Barton County, Kansas",Barton County,Kansas
"Bourbon County, Kansas",Bourbon County,Kansas
"Brown County, Kansas",Brown County,Kansas
"Butler County, Kansas",Butler County,Kansas
"Chase County, Kansas",Chase County,Kansas
"Chautauqua County, Kansas",Chautauqua County,Kansas
"Cherokee County, Kansas",Cherokee County,Kansas
"Cheyenne County, Kansas",Cheyenne County,Kansas
"Clark County, Kansas",Clark County,Kansas
"Clay County, Kansas",Clay County,Kansas
"Cloud County, Kansas",Cloud County,Kansas
"Coffey County, Kansas",Coffey County,Kansas
"Comanche County, Kansas",Comanche County,Kansas
"Cowley County, Kansas",Cowley County,Kansas
"Crawford County, Kansas",Crawford County,Kansas
"Decatur County, Kansas",Decatur County,Kansas
"Dickinson County, Kansas",Dickinson County,Kansas
"Doniphan County, Kansas",Doniphan County,Kansas
"Douglas County, Kansas",Douglas County,Kansas
"Edwards County, Kansas",Edwards County,Kansas
"Elk County, Kansas",Elk County,Kansas
"Ellis County, Kansas",Ellis County,Kansas
"Ellsworth County, Kansas",Ellsworth County,Kansas
"Finney County, Kansas",Finney County,Kansas
"Ford County, Kansas",Ford County,Kansas
"Franklin County, Kansas",Franklin County,Kansas
"Geary County, Kansas",Geary County,Kansas
"Gove County, Kansas",Gove County,Kansas
"Graham County, Kansas",Graham County,Kansas
"Grant County, Kansas",Grant County,Kansas
"Gray County, Kansas",Gray County,Kansas
"Greeley County, Kansas",Greeley County,Kansas
"Greenwood County, Kansas",Greenwood County,Kansas
"Hamilton County, Kansas",Hamilton County,Kansas
"Harper County, Kansas",Harper County,Kansas
"Harvey County, Kansas",Harvey County,Kansas
"Haskell County, Kansas",Haskell County,Kansas
"Hodgeman County, Kansas",Hodgeman County,Kansas
"Jackson County, Kansas",Jackson County,Kansas
"Jefferson County, Kansas",Jefferson County,Kansas
"Jewell County, Kansas",Jewell County,Kansas
"Johnson County, Kansas",Johnson County,Kansas
"Kearny County, Kansas",Kearny County,Kansas
"Kingman County, Kansas",Kingman County,Kansas
"Kiowa County, Kansas",Kiowa County,Kansas
"Labette County, Kansas",Labette County,Kansas
"Lane County, Kansas",Lane County,Kansas
"Leavenworth County, Kansas",Leavenworth County,Kansas
"Lincoln County, Kansas",Lincoln County,Kansas
"Linn County, Kansas",Linn County,Kansas
"Logan County, Kansas",Logan County,Kansas
"Lyon County, Kansas",Lyon County,Kansas
"McPherson County, Kansas",McPherson County,Kansas
"Marion County, Kansas",Marion County,Kansas
"Marshall County, Kansas",Marshall County,Kansas
"Meade County, Kansas",Meade County,Kansas
"Miami County, Kansas",Miami County,Kansas
"Mitchell County, Kansas",Mitchell County,Kansas
"Montgomery County, Kansas",Montgomery County,Kansas
"Morris County, Kansas",Morris County,Kansas
"Morton County, Kansas",Morton County,Kansas
"Nemaha County, Kansas",Nemaha County,Kansas
"Neosho County, Kansas",Neosho County,Kansas
"Ness County, Kansas",Ness County,Kansas
"Norton County, Kansas",Norton County,Kansas
"Osage County, Kansas",Osage County,Kansas
"Osborne County, Kansas",Osborne County,Kansas
"Ottawa County, Kansas",Ottawa County,Kansas
"Pawnee County, Kansas",Pawnee County,Kansas
"Phillips County, Kansas",Phillips County,Kansas
"Pottawatomie County, Kansas",Pottawatomie County,Kansas
"Pratt County, Kansas",Pratt County,Kansas
"Rawlins County, Kansas",Rawlins County,Kansas
"Reno County, Kansas",Reno County,Kansas
"Republic County, Kansas",Republic County,Kansas
"Rice County, Kansas",Rice County,Kansas
"Riley County, Kansas",Riley County,Kansas
"Rooks County, Kansas",Rooks County,Kansas
"Rush County, Kansas",Rush County,Kansas
"Russell County, Kansas",Russell County,Kansas
"Saline County, Kansas",Saline County,Kansas
"Scott County, Kansas",Scott County,Kansas
"Sedgwick County, Kansas",Sedgwick County,Kansas
"Seward County, Kansas",Seward County,Kansas
"Shawnee County, Kansas",Shawnee County,Kansas
"Sheridan County, Kansas",Sheridan County,Kansas
"Sherman County, Kansas",Sherman County,Kansas
"Smith County, Kansas",Smith County,Kansas
"Stafford County, Kansas",Stafford County,Kansas
"Stanton County, Kansas",Stanton County,Kansas
"Stevens County, Kansas",Stevens County,Kansas
"Sumner County, Kansas",Sumner County,Kansas
"Thomas County, Kansas",Thomas County,Kansas
"Trego County, Kansas",Trego County,Kansas
"Wabaunsee County, Kansas",Wabaunsee County,Kansas
"Wallace County, Kansas",Wallace County,Kansas
"Washington County, Kansas",Washington County,Kansas
"Wichita County, Kansas",Wichita County,Kansas
"Wilson County, Kansas",Wilson County,Kansas
"Woodson County, Kansas",Woodson County,Kansas
"Wyandotte County, Kansas",Wyandotte County,Kansas
"Adair County, Kentucky",Adair County,Kentucky
"Allen County, Kentucky",Allen County,Kentucky
"Anderson County, Kentucky",Anderson County,Kentucky
"Ballard County, Kentucky",Ballard County,Kentucky
"Barren County, Kentucky",Barren County,Kentucky
"Bath County, Kentucky",Bath County,Kentucky
"Bell County, Kentucky",Bell County,Kentucky
"Boone County, Kentucky",Boone County,Kentucky
"Bourbon County, Kentucky",Bourbon County,Kentucky
"Boyd County, Kentucky",Boyd County,Kentucky
"Boyle County, Kentucky",Boyle County,Kentucky
"Bracken County, Kentucky",Bracken County,Kentucky
"Breathitt County, Kentucky",Breathitt County,Kentucky
"Breckinridge County, Kentucky",Breckinridge County,Kentucky
"Bullitt County, Kentucky",Bullitt County,Kentucky
"Butler County, Kentucky",Butler County,Kentucky
"Caldwell County, Kentucky",Caldwell County,Kentucky
"Calloway County, Kentucky",Calloway County,Kentucky
"Campbell County, Kentucky",Campbell County,Kentucky
"Carlisle County, Kentucky",Carlisle County,Kentucky
"Carroll County, Kentucky",Carroll County,Kentucky
"Carter County, Kentucky",Carter County,Kentucky
"Casey County, Kentucky",Casey County,Kentucky
"Christian County, Kentucky",Christian County,Kentucky
"Clark County, Kentucky",Clark County,Kentucky
"Clay County, Kentucky",Clay County,Kentucky
"Clinton County, Kentucky",Clinton County,Kentucky
"Crittenden County, Kentucky",Crittenden County,Kentucky
"Cumberland County, Kentucky",Cumberland County,Kentucky
"Daviess County, Kentucky",Daviess County,Kentucky
"Edmonson County, Kentucky",Edmonson County,Kentucky
"Elliott County, Kentucky",Elliott County,Kentucky
"Estill County, Kentucky",Estill County,Kentucky
"Fayette County, Kentucky",Fayette County,Kentucky
"Fleming County, Kentucky",Fleming County,Kentucky
"Floyd County, Kentucky",Floyd County,Kentucky
"Franklin County, Kentucky",Franklin County,Kentucky
"Fulton County, Kentucky",Fulton County,Kentucky
"Gallatin County, Kentucky",Gallatin County,Kentucky
"Garrard County, Kentucky",Garrard County,Kentucky
"Grant County, Kentucky",Grant County,Kentucky
"Graves County, Kentucky",Graves County,Kentucky
"Grayson County, Kentucky",Grayson County,Kentucky
"Green County, Kentucky",Green County,Kentucky
"Greenup County, Kentucky",Greenup County,Kentucky
"Hancock County, Kentucky",Hancock County,Kentucky
"Hardin County, Kentucky",Hardin County,Kentucky
"Harlan County, Kentucky",Harlan County,Kentucky
"Harrison County, Kentucky",Harrison County,Kentucky
"Hart County, Kentucky",Hart County,Kentucky
"Henderson County, Kentucky",Henderson County,Kentucky
"Henry County, Kentucky",Henry County,Kentucky
"Hickman County, Kentucky",Hickman County,Kentucky
"Hopkins County, Kentucky",Hopkins County,Kentucky
"Jackson County, Kentucky",Jackson County,Kentucky
"Jefferson County, Kentucky",Jefferson County,Kentucky
"Jessamine County, Kentucky",Jessamine County,Kentucky
"Johnson County, Kentucky",Johnson County,Kentucky
"Kenton County, Kentucky",Kenton County,Kentucky
"Knott County, Kentucky",Knott County,Kentucky
"Knox County, Kentucky",Knox County,Kentucky
"Larue County, Kentucky",Larue County,Kentucky
"Laurel County, Kentucky",Laurel County,Kentucky
"Lawrence County, Kentucky",Lawrence County,Kentucky
"Lee County, Kentucky",Lee County,Kentucky
"Leslie County, Kentucky",Leslie County,Kentucky
"Letcher County, Kentucky",Letcher County,Kentucky
"Lewis County, Kentucky",Lewis County,Kentucky
"Lincoln County, Kentucky",Lincoln County,Kentucky
"Livingston County, Kentucky",Livingston County,Kentucky
"Logan County, Kentucky",Logan County,Kentucky
"Lyon County, Kentucky",Lyon County,Kentucky
"McCracken County, Kentucky",McCracken County,Kentucky
"McCreary County, Kentucky",McCreary County,Kentucky
"McLean County, Kentucky",McLean County,Kentucky
"Madison County, Kentucky",Madison County,Kentucky
"Magoffin County, Kentucky",Magoffin County,Kentucky
"Marion County, Kentucky",Marion County,Kentucky
"Marshall County, Kentucky",Marshall County,Kentucky
"Martin County, Kentucky",Martin County,Kentucky
"Mason County, Kentucky",Mason County,Kentucky
"Meade County, Kentucky",Meade County,Kentucky
"Menifee County, Kentucky",Menifee County,Kentucky
"Mercer County, Kentucky",Mercer County,Kentucky
"Metcalfe County, Kentucky",Metcalfe County,Kentucky
"Monroe County, Kentucky",Monroe County,Kentucky
"Montgomery County, Kentucky",Montgomery County,Kentucky
"Morgan County, Kentucky",Morgan County,Kentucky
"Muhlenberg County, Kentucky",Muhlenberg County,Kentucky
"Nelson County, Kentucky",Nelson County,Kentucky
"Nicholas County, Kentucky",Nicholas County,Kentucky
"Ohio County, Kentucky",Ohio County,Kentucky
"Oldham County, Kentucky",Oldham County,Kentucky
"Owen County, Kentucky",Owen County,Kentucky
"Owsley County, Kentucky",Owsley County,Kentucky
"Pendleton County, Kentucky",Pendleton County,Kentucky
"Perry County, Kentucky",Perry County,Kentucky
"Pike County, Kentucky",Pike County,Kentucky
"Powell County, Kentucky",Powell County,Kentucky
"Pulaski County, Kentucky",Pulaski County,Kentucky
"Robertson County, Kentucky",Robertson County,Kentucky
"Rockcastle County, Kentucky",Rockcastle County,Kentucky
"Rowan County, Kentucky",Rowan County,Kentucky
"Russell County, Kentucky",Russell County,Kentucky
"Scott County, Kentucky",Scott County,Kentucky
"Shelby County, Kentucky",Shelby County,Kentucky
"Simpson County, Kentucky",Simpson County,Kentucky
"Spencer County, Kentucky",Spencer County,Kentucky
"Taylor County, Kentucky",Taylor County,Kentucky
"Todd County, Kentucky",Todd County,Kentucky
"Trigg County, Kentucky",Trigg County,Kentucky
"Trimble County, Kentucky",Trimble County,Kentucky
"Union County, Kentucky",Union County,Kentucky
"Warren County, Kentucky",Warren County,Kentucky
"Washington County, Kentucky",Washington County,Kentucky
"Wayne County, Kentucky",Wayne County,Kentucky
"Webster County, Kentucky",Webster County,Kentucky
"Whitley County, Kentucky",Whitley County,Kentucky
"Wolfe County, Kentucky",Wolfe County,Kentucky
"Woodford County, Kentucky",Woodford County,Kentucky
"Acadia Parish, Louisiana",Acadia Parish,Louisiana
"Allen Parish, Louisiana",Allen Parish,Louisiana
"Ascension Parish, Louisiana",Ascension Parish,Louisiana
"Assumption Parish, Louisiana",Assumption Parish,Louisiana
"Avoyelles Parish, Louisiana",Avoyelles Parish,Louisiana
"Beauregard Parish, Louisiana",Beauregard Parish,Louisiana
"Bienville Parish, Louisiana",Bienville Parish,Louisiana
"Bossier Parish, Louisiana",Bossier Parish,Louisiana
"Caddo Parish, Louisiana",Caddo Parish,Louisiana
"Calcasieu Parish, Louisiana",Calcasieu Parish,Louisiana
"Caldwell Parish, Louisiana",Caldwell Parish,Louisiana
"Cameron Parish, Louisiana",Cameron Parish,Louisiana
"Catahoula Parish, Louisiana",Catahoula Parish,Louisiana
"Claiborne Parish, Louisiana",Claiborne Parish,Louisiana
"Concordia Parish, Louisiana",Concordia Parish,Louisiana
"De Soto Parish, Louisiana",De Soto Parish,Louisiana
"East Baton Rouge Parish, Louisiana",East Baton Rouge Parish,Louisiana
"East Carroll Parish, Louisiana",East Carroll Parish,Louisiana
"East Feliciana Parish, Louisiana",East Feliciana Parish,Louisiana
"Evangeline Parish, Louisiana",Evangeline Parish,Louisiana
"Franklin Parish, Louisiana",Franklin Parish,Louisiana
"Grant Parish, Louisiana",Grant Parish,Louisiana
"Iberia Parish, Louisiana",Iberia Parish,Louisiana
"Iberville Parish, Louisiana",Iberville Parish,Louisiana
"Jackson Parish, Louisiana",Jackson Parish,Louisiana
"Jefferson Parish, Louisiana",Jefferson Parish,Louisiana
"Jefferson Davis Parish, Louisiana",Jefferson Davis Parish,Louisiana
"Lafayette Parish, Louisiana",Lafayette Parish,Louisiana
"Lafourche Parish, Louisiana",Lafourche Parish,Louisiana
"LaSalle Parish, Louisiana",LaSalle Parish,Louisiana
"Lincoln Parish, Louisiana",Lincoln Parish,Louisiana
"Livingston Parish, Louisiana",Livingston Parish,Louisiana
"Madison Parish, Louisiana",Madison Parish,Louisiana
"Morehouse Parish, Louisiana",Morehouse Parish,Louisiana
"Natchitoches Parish, Louisiana",Natchitoches Parish,Louisiana
"Orleans Parish, Louisiana",Orleans Parish,Louisiana
"Ouachita Parish, Louisiana",Ouachita Parish,Louisiana
"Plaquemines Parish, Louisiana",Plaquemines Parish,Louisiana
"Pointe Coupee Parish, Louisiana",Pointe Coupee Parish,Louisiana
"Rapides Parish, Louisiana",Rapides Parish,Louisiana
"Red River Parish, Louisiana",Red River Parish,Louisiana
"Richland Parish, Louisiana",Richland Parish,Louisiana
"Sabine Parish, Louisiana",Sabine Parish,Louisiana
"St. Bernard Parish, Louisiana",St. Bernard Parish,Louisiana
"St. Charles Parish, Louisiana",St. Charles Parish,Louisiana
"St. Helena Parish, Louisiana",St. Helena Parish,Louisiana
"St. James Parish, Louisiana",St. James Parish,Louisiana
"St. John the Baptist Parish, Louisiana",St. John the Baptist Parish,Louisiana
"St. Landry Parish, Louisiana",St. Landry Parish,Louisiana
"St. Martin Parish, Louisiana",St. Martin Parish,Louisiana
"St. Mary Parish, Louisiana",St. Mary Parish,Louisiana
"St. Tammany Parish, Louisiana",St. Tammany Parish,Louisiana
"Tangipahoa Parish, Louisiana",Tangipahoa Parish,Louisiana
"Tensas Parish, Louisiana",Tensas Parish,Louisiana
"Terrebonne Parish, Louisiana",Terrebonne Parish,Louisiana
"Union Parish, Louisiana",Union Parish,Louisiana
"Vermilion Parish, Louisiana",Vermilion Parish,Louisiana
"Vernon Parish, Louisiana",Vernon Parish,Louisiana
"Washington Parish, Louisiana",Washington Parish,Louisiana
"Webster Parish, Louisiana",Webster Parish,Louisiana
"West Baton Rouge Parish, Louisiana",West Baton Rouge Parish,Louisiana
"West Carroll Parish, Louisiana",West Carroll Parish,Louisiana
"West Feliciana Parish, Louisiana",West Feliciana Parish,Louisiana
"Winn Parish, Louisiana",Winn Parish,Louisiana
"Androscoggin County, Maine",Androscoggin County,Maine
"Aroostook County, Maine",Aroostook County,Maine
"Cumberland County, Maine",Cumberland County,Maine
"Franklin County, Maine",Franklin County,Maine
"Hancock County, Maine",Hancock County,Maine
"Kennebec County, Maine",Kennebec County,Maine
