RegionName,State,statename,geography,Metro,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
Franklin County,OH,Ohio,"Franklin County, Ohio",Columbus,32,176100,0.00284738,0.012650949,0.057657658,0.073888659,0.029400547,2018-12,2018-Q4,176100,0,2018-12
Hennepin County,MN,Minnesota,"Hennepin County, Minnesota",Minneapolis-St. Paul-Bloomington,33,281800,0.006069261,0.014398848,0.065406427,0.060380311,0.027425293,2018-12,2018-Q4,281800,0,2018-12
Orange County,FL,Florida,"Orange County, Florida",Orlando-Kissimmee-Sanford,34,245300,0.007392197,0.013217679,0.090706981,0.102197042,0.028948559,2006-09,2006-Q3,270900,-0.094499815,2006-01
Fairfax County,VA,Virginia,"Fairfax County, Virginia",Washington-Arlington-Alexandria,35,541100,0.003523739,0.005762082,0.03164919,0.023359158,0.023725159,2006-01,2006-Q1,553100,-0.021695896,2005-08
Contra Costa County,CA,California,"Contra Costa County, California",San Francisco-Oakland-Hayward,36,617800,-0.00435133,-0.008982996,0.046409214,0.078498164,0.04867366,2018-09,2018-Q3,623400,-0.008982996,2018-06
Salt Lake County,UT,Utah,"Salt Lake County, Utah",Salt Lake City,37,362600,0.008903728,0.029236446,0.11500615,0.085491521,0.036237747,2018-12,2018-Q4,362600,0,2018-12
Travis County,TX,Texas,"Travis County, Texas",Austin-Round Rock,38,350300,0.006031017,0.023670368,0.096743895,0.083853662,0.050958746,2018-12,2018-Q4,350300,0,2018-12
Saint Louis County,MO,Missouri,"Saint Louis County, Missouri",St. Louis,39,184500,0.004901961,0.010405257,0.041196388,0.051254627,0.011847941,2018-12,2018-Q4,184500,0,2018-12
Pima County,AZ,Arizona,"Pima County, Arizona",Tucson,40,202800,0,0.008955224,0.067368421,0.051725363,0.008198077,2006-06,2006-Q2,237700,-0.146823727,2005-07
Montgomery County,MD,Maryland,"Montgomery County, Maryland",Washington-Arlington-Alexandria,41,450900,0.003337784,0.006922733,0.038222427,0.020948739,0.012100745,2006-07,2006-Q3,494100,-0.087431694,2005-04
Honolulu County,HI,Hawaii,"Honolulu County, Hawaii",Urban Honolulu,42,684700,-0.000875529,-0.001603966,0.033821531,0.050776917,0.032620201,2018-09,2018-Q3,685800,-0.001603966,2018-08
Westchester County,NY,New York,"Westchester County, New York",New York-Newark-Jersey City,43,607300,-0.00065822,-0.000987004,0.009474734,0.034567502,0.006288192,2006-04,2006-Q2,654900,-0.072682852,2005-03
Milwaukee County,WI,Wisconsin,"Milwaukee County, Wisconsin",Milwaukee-Waukesha-West Allis,44,156800,0.006418485,0.013574661,0.045333333,0.049244246,0.002129318,2006-04,2006-Q2,165900,-0.054852321,2005-05
Fresno County,CA,California,"Fresno County, California",Fresno,45,248200,0.00526529,0.018883415,0.06432247,0.077612901,0.025208223,2006-05,2006-Q2,299700,-0.171838505,2005-03
Shelby County,TN,Tennessee,"Shelby County, Tennessee",Memphis,46,130600,0.00693909,0.025117739,0.099326599,0.08588895,0.02492419,2018-12,2018-Q4,130600,0,2018-12
Fulton County,GA,Georgia,"Fulton County, Georgia",Atlanta-Sandy Springs-Roswell,47,283800,0.006739979,0.036144578,0.129327497,0.098158412,0.034175974,2018-12,2018-Q4,283800,0,2018-12
Mecklenburg County,NC,North Carolina,"Mecklenburg County, North Carolina",Charlotte-Concord-Gastonia,48,237300,0.006361323,0.022844828,0.084552102,0.083378276,0.03452527,2018-12,2018-Q4,237300,0,2018-12
Erie County,NY,New York,"Erie County, New York",Buffalo-Cheektowaga-Niagara Falls,49,162200,-0.000616143,0.002472188,0.044430135,0.04768215,0.029993201,2018-11,2018-Q4,162300,-0.000616143,2018-10
DuPage County,IL,Illinois,"DuPage County, Illinois",Chicago-Naperville-Elgin,50,290500,0.002415459,0.007980569,0.033072546,0.037294449,0.005791286,2006-10,2006-Q4,318000,-0.086477987,2005-05
Fairfield County,CT,Connecticut,"Fairfield County, Connecticut",Bridgeport-Stamford-Norwalk,51,336700,0.000297089,0.00447494,0.02030303,0.017582053,-0.004885428,2006-04,2006-Q2,421800,-0.201754386,2003-06
Pinellas County,FL,Florida,"Pinellas County, Florida",Tampa-St. Petersburg-Clearwater,52,229100,0.004384042,0.01416556,0.105161602,0.110588264,0.040722927,2018-12,2018-Q4,229100,0,2018-12
Bergen County,NJ,New Jersey,"Bergen County, New Jersey",New York-Newark-Jersey City,53,468700,0.003855215,0.011218986,0.031243124,0.032104268,0.005632546,2006-07,2006-Q3,510700,-0.082240063,2005-06
Marion County,IN,Indiana,"Marion County, Indiana",Indianapolis-Carmel-Anderson,54,139700,0.010122921,0.040983607,0.143207856,0.099601506,0.024469369,2018-12,2018-Q4,139700,0,2018-12
Wake County,NC,North Carolina,"Wake County, North Carolina",Raleigh,55,288100,0.005584642,0.01372273,0.058412932,0.057734996,0.026267036,2018-12,2018-Q4,288100,0,2018-12
Hartford County,CT,Connecticut,"Hartford County, Connecticut",Hartford-West Hartford-East Hartford,56,226600,0.002211411,-0.003956044,0.009803922,0.011413271,-0.004224943,2007-02,2007-Q1,255400,-0.112764291,2004-12
Duval County,FL,Florida,"Duval County, Florida",Jacksonville,57,177900,0.003950339,0.022413793,0.078181818,0.095985189,0.018916025,2006-10,2006-Q4,187400,-0.050693703,2006-02
Prince Georges County,MD,Maryland,"Prince Georges County, Maryland",Washington-Arlington-Alexandria,58,295200,0.003399048,0.01026694,0.05730659,0.06417234,0.009037811,2007-01,2007-Q1,351800,-0.160886868,2005-06
New Haven County,CT,Connecticut,"New Haven County, Connecticut",New Haven-Milford,59,212500,0,0.003778932,0.016260163,0.013723897,-0.007925626,2006-05,2006-Q2,267700,-0.206200971,2004-04
Macomb County,MI,Michigan,"Macomb County, Michigan",Detroit-Warren-Dearborn,60,171400,0.004100762,0.010613208,0.077987421,0.084978652,0.035605596,2018-12,2018-Q4,171400,0,2018-12
Kern County,CA,California,"Kern County, California",Bakersfield,61,215400,0.004664179,0.017477563,0.067393459,0.063941434,0.025899848,2006-07,2006-Q3,279700,-0.229889167,2005-04
Ventura County,CA,California,"Ventura County, California",Oxnard-Thousand Oaks-Ventura,62,601500,0.000499002,0.002834278,0.046086957,0.053370078,0.032630722,2006-06,2006-Q2,632100,-0.048410062,2005-09
Middlesex County,NJ,New Jersey,"Middlesex County, New Jersey",New York-Newark-Jersey City,63,328900,0.004581552,0.015750463,0.076595745,0.045496547,0.002060248,2006-08,2006-Q3,365100,-0.099150918,2005-05
Gwinnett County,GA,Georgia,"Gwinnett County, Georgia",Atlanta-Sandy Springs-Roswell,64,229200,0.007472527,0.027802691,0.105643994,0.081375642,0.029425801,2018-12,2018-Q4,229200,0,2018-12
San Francisco County,CA,California,"San Francisco County, California",San Francisco-Oakland-Hayward,65,1375400,0.002332022,0.011323529,0.061265432,0.093078104,0.063975112,2018-12,2018-Q4,1375400,0,2018-12
Baltimore County,MD,Maryland,"Baltimore County, Maryland",Baltimore-Columbia-Towson,66,244200,0.004524887,0.007841519,0.056685418,0.036425249,0.000822711,2007-04,2007-Q2,273200,-0.106149341,2005-10
Hamilton County,OH,Ohio,"Hamilton County, Ohio",Cincinnati,67,150300,0.010759919,0.030864198,0.097881665,0.062495747,0.019833332,2018-12,2018-Q4,150300,0,2018-12
El Paso County,TX,Texas,"El Paso County, Texas",El Paso,68,124600,0.002413516,0.007275667,0.046179681,0.025612111,0.006744375,2018-12,2018-Q4,124600,0,2018-12
Montgomery County,PA,Pennsylvania,"Montgomery County, Pennsylvania",Philadelphia-Camden-Wilmington,69,309000,0.004224894,0.015779093,0.056410256,0.033707738,0.010737223,2018-12,2018-Q4,309000,0,2018-12
Worcester County,MA,Massachusetts,"Worcester County, Massachusetts",Worcester,70,282400,0.004624689,0.01218638,0.063653484,0.057829072,0.021628464,2005-10,2005-Q4,284500,-0.007381371,2005-06
Pierce County,WA,Washington,"Pierce County, Washington",Seattle-Tacoma-Bellevue,71,343500,0.009403468,0.028751123,0.100608779,0.093999789,0.030767288,2018-12,2018-Q4,343500,0,2018-12
Essex County,NJ,New Jersey,"Essex County, New Jersey",New York-Newark-Jersey City,72,388600,0.00283871,0.009088548,0.058855586,0.057092516,0.00469978,2007-01,2007-Q1,428900,-0.093961296,2005-08
Collin County,TX,Texas,"Collin County, Texas",Dallas-Fort Worth-Arlington,73,328100,0.005516396,0.010782502,0.036323437,0.07970941,0.049285878,2018-06,2018-Q2,328800,-0.002128954,2018-06
Hidalgo County,TX,Texas,"Hidalgo County, Texas",McAllen-Edinburg-Mission,74,101200,-0.002955665,0.004965243,0.096424702,0.058944951,0.022894157,2018-11,2018-Q4,101500,-0.002955665,2018-11
Monroe County,NY,New York,"Monroe County, New York",Rochester,75,142200,0.004946996,0.002820874,-0.055149502,0.026283701,0.01436359,2016-08,2016-Q3,157000,-0.094267516,2016-01
Essex County,MA,Massachusetts,"Essex County, Massachusetts",Boston-Cambridge-Newton,76,439400,0.004342857,0.01127733,0.058285164,0.061977212,0.034734208,2018-12,2018-Q4,439400,0,2018-12
Jefferson County,KY,Kentucky,"Jefferson County, Kentucky",Louisville/Jefferson County,77,160300,0.002501563,0.010081916,0.05599473,0.050501049,0.025267305,2018-12,2018-Q4,160300,0,2018-12
Multnomah County,OR,Oregon,"Multnomah County, Oregon",Portland-Vancouver-Hillsboro,78,402900,0.002987304,0.000496648,0.012820513,0.092225858,0.043814544,2018-03,2018-Q1,404800,-0.004693676,2018-02
Suffolk County,MA,Massachusetts,"Suffolk County, Massachusetts",Boston-Cambridge-Newton,79,560100,0.003583587,0.013022246,0.067874166,0.087222639,0.057940164,2018-12,2018-Q4,560100,0,2018-12
Oklahoma County,OK,Oklahoma,"Oklahoma County, Oklahoma",Oklahoma City,80,133100,0.004528302,0.0121673,0.027006173,0.044426102,0.026068294,2018-12,2018-Q4,133100,0,2018-12
San Mateo County,CA,California,"San Mateo County, California",San Francisco-Oakland-Hayward,81,1364200,-0.004378923,-0.004814707,0.059490525,0.109393967,0.069016,2018-10,2018-Q4,1374900,-0.007782384,2018-08
Snohomish County,WA,Washington,"Snohomish County, Washington",Seattle-Tacoma-Bellevue,82,464300,0.005631362,0.014863388,0.074271171,0.103150896,0.039031651,2018-12,2018-Q4,464300,0,2018-12
Lake County,IL,Illinois,"Lake County, Illinois",Chicago-Naperville-Elgin,83,236100,-0.000846382,-0.002534854,0.021193772,0.045396139,-0.004018181,2007-02,2007-Q1,290600,-0.187543014,2003-02
Dekalb County,GA,Georgia,"Dekalb County, Georgia",Atlanta-Sandy Springs-Roswell,84,198200,0.01122449,0.043707214,0.141047784,0.118539807,0.028943998,2018-12,2018-Q4,198200,0,2018-12
Cobb County,GA,Georgia,"Cobb County, Georgia",Atlanta-Sandy Springs-Roswell,85,256100,0.008267717,0.029340836,0.107698962,0.089408221,0.031505146,2018-12,2018-Q4,256100,0,2018-12
San Joaquin County,CA,California,"San Joaquin County, California",Stockton-Lodi,86,362000,0.002214839,0.011738401,0.069108092,0.100071972,0.058769753,2006-01,2006-Q1,420700,-0.139529356,2005-02
Will County,IL,Illinois,"Will County, Illinois",Chicago-Naperville-Elgin,87,222700,0.005871725,0.016894977,0.049481621,0.045945014,0.004841316,2007-01,2007-Q1,239500,-0.070146138,2005-07
Jackson County,MO,Missouri,"Jackson County, Missouri",Kansas City,88,140900,0.007147963,0.023982558,0.103367267,0.054818917,0.017292933,2018-12,2018-Q4,140900,0,2018-12
Norfolk County,MA,Massachusetts,"Norfolk County, Massachusetts",Boston-Cambridge-Newton,89,499900,0.003412284,0.012763371,0.063390768,0.058223748,0.035641341,2018-12,2018-Q4,499900,0,2018-12
Denton County,TX,Texas,"Denton County, Texas",Dallas-Fort Worth-Arlington,90,291100,0.005874223,0.017476407,0.067082111,0.08365403,0.045810327,2018-12,2018-Q4,291100,0,2018-12
Bernalillo County,NM,New Mexico,"Bernalillo County, New Mexico",Albuquerque,91,201900,0.004477612,0.017641129,0.068819481,0.043733788,0.004310458,2018-12,2018-Q4,201900,0,2018-12
Jefferson County,AL,Alabama,"Jefferson County, Alabama",Birmingham-Hoover,92,120600,0.005,0.034305317,0.119777159,0.053577091,0.004766037,2007-08,2007-Q3,122600,-0.016313214,2006-04
Hudson County,NJ,New Jersey,"Hudson County, New Jersey",New York-Newark-Jersey City,93,444700,0.005426181,0.025363154,0.103747828,0.098195297,0.020591524,2018-12,2018-Q4,444700,0,2018-12
Monmouth County,NJ,New Jersey,"Monmouth County, New Jersey",New York-Newark-Jersey City,94,423900,0.001417434,0.008325404,0.055002489,0.037872848,0.00925325,2006-08,2006-Q3,442500,-0.042033898,2005-11
Davidson County,TN,Tennessee,"Davidson County, Tennessee",Nashville-Davidson--Murfreesboro--Franklin,95,263700,0.001899696,0.01384083,0.081180812,0.116927309,0.055601929,2018-12,2018-Q4,263700,0,2018-12
Providence County,RI,Rhode Island,"Providence County, Rhode Island",Providence-Warwick,96,251200,0.003996803,0.019066937,0.048851775,0.072772112,0.016203965,2005-12,2005-Q4,272500,-0.078165138,2004-10
Bucks County,PA,Pennsylvania,"Bucks County, Pennsylvania",Philadelphia-Camden-Wilmington,97,324500,0.001234187,0.004955094,0.025600506,0.031416278,0.006084752,2006-09,2006-Q3,330400,-0.017857143,2006-03
El Paso County,CO,Colorado,"El Paso County, Colorado",Colorado Springs,98,290300,0.006937218,0.023985891,0.093820648,0.078555383,0.039479769,2018-12,2018-Q4,290300,0,2018-12
Baltimore City,MD,Maryland,"Baltimore City, Maryland",Baltimore-Columbia-Towson,99,119700,0.00167364,0.026586621,0.211538462,0.091397441,-0.005273977,2007-09,2007-Q3,137800,-0.131349782,2006-06
Lee County,FL,Florida,"Lee County, Florida",Cape Coral-Fort Myers,100,232900,0.00344679,0.012608696,0.043458781,0.079602292,0.035823021,2006-05,2006-Q2,299700,-0.222889556,2005-05
Tulsa County,OK,Oklahoma,"Tulsa County, Oklahoma",Tulsa,101,140600,-0.000710732,0.002138275,0.03003663,0.046908446,0.022728966,2018-11,2018-Q4,140700,-0.000710732,2018-11
Kent County,MI,Michigan,"Kent County, Michigan",Grand Rapids-Wyoming,102,190200,0.005285412,0.019292605,0.081911263,0.089853599,0.043876178,2018-12,2018-Q4,190200,0,2018-12
Polk County,FL,Florida,"Polk County, Florida",Lakeland-Winter Haven,103,175200,0.002862049,0.015652174,0.088875078,0.102413102,0.021664891,2006-08,2006-Q3,193000,-0.092227979,2006-03
District of Columbia,DC,#N/A,#N/A,Washington-Arlington-Alexandria,104,581200,0.003626317,0.016261584,0.059423988,0.062658968,0.046477569,2018-12,2018-Q4,581200,0,2018-12
Denver County,CO,Colorado,"Denver County, Colorado",Denver-Aurora-Lakewood,105,423500,0.004030346,0.018028846,0.073510773,0.108878629,0.068025147,2018-12,2018-Q4,423500,0,2018-12
Fort Bend County,TX,Texas,"Fort Bend County, Texas",Houston-The Woodlands-Sugar Land,106,256200,0.004705882,0.007075472,0.026031237,0.067287639,0.036855958,2018-12,2018-Q4,256200,0,2018-12
Ocean County,NJ,New Jersey,"Ocean County, New Jersey",New York-Newark-Jersey City,107,282800,0.002836879,0.01,0.0423885,0.033020615,-0.00281998,2006-08,2006-Q3,339600,-0.167255595,2004-11
Arapahoe County,CO,Colorado,"Arapahoe County, Colorado",Denver-Aurora-Lakewood,108,374100,0.005374899,0.014921324,0.050547599,0.100746574,0.061945441,2018-12,2018-Q4,374100,0,2018-12
Delaware County,PA,Pennsylvania,"Delaware County, Pennsylvania",Philadelphia-Camden-Wilmington,109,215800,0.004655493,0.016486105,0.064102564,0.03591131,-0.000462215,2007-07,2007-Q3,229500,-0.059694989,2005-11
Bristol County,MA,Massachusetts,"Bristol County, Massachusetts",Providence-Warwick,110,313900,0.003837544,0.017174336,0.065512559,0.055770987,0.020998522,2018-12,2018-Q4,313900,0,2018-12
Johnson County,KS,Kansas,"Johnson County, Kansas",Kansas City,111,284200,0.004240283,0.013552068,0.076107535,0.065856533,0.031557594,2018-12,2018-Q4,284200,0,2018-12
Brevard County,FL,Florida,"Brevard County, Florida",Palm Bay-Melbourne-Titusville,112,211200,0.008595989,0.015873016,0.097713098,0.1171077,0.03725522,2006-04,2006-Q2,233900,-0.097050021,2005-07
Summit County,OH,Ohio,"Summit County, Ohio",Akron,113,133700,0.005263158,0.022171254,0.054416404,0.05172736,0.014916259,2018-12,2018-Q4,133700,0,2018-12
New Castle County,DE,Delaware,"New Castle County, Delaware",Philadelphia-Camden-Wilmington,114,232100,0.000862441,-0.003434951,-0.039718659,0.042270985,0.001696024,2018-01,2018-Q1,245400,-0.054197229,2017-12
Anne Arundel County,MD,Maryland,"Anne Arundel County, Maryland",Baltimore-Columbia-Towson,115,341200,-0.000585823,0.005007364,0.031438936,0.026482253,0.004598363,2006-06,2006-Q2,375900,-0.092311785,2005-07
Union County,NJ,New Jersey,"Union County, New Jersey",New York-Newark-Jersey City,116,346800,0.001443835,0.019700088,0.05346294,0.050485142,0.001982225,2006-08,2006-Q3,405600,-0.144970414,2005-02
Montgomery County,OH,Ohio,"Montgomery County, Ohio",Dayton,117,107100,0.000934579,0.026845638,0.105263158,0.055634275,0.009850359,2007-03,2007-Q1,108400,-0.01199262,2006-05
Jefferson County,CO,Colorado,"Jefferson County, Colorado",Denver-Aurora-Lakewood,118,423000,0.003796868,0.014631806,0.059353869,0.09837365,0.059329627,2018-12,2018-Q4,423000,0,2018-12
Washington County,OR,Oregon,"Washington County, Oregon",Portland-Vancouver-Hillsboro,119,409700,0.00712881,0.014611194,0.049436475,0.08370577,0.039841806,2018-12,2018-Q4,409700,0,2018-12
Lancaster County,PA,Pennsylvania,"Lancaster County, Pennsylvania",Lancaster,120,206400,0.004868549,0.017751479,0.06009245,0.037983538,0.010951515,2018-12,2018-Q4,206400,0,2018-12
Douglas County,NE,Nebraska,"Douglas County, Nebraska",Omaha-Council Bluffs,121,170800,0.002935995,0.015457788,0.074889868,0.05578473,0.029992901,2018-12,2018-Q4,170800,0,2018-12
Utah County,UT,Utah,"Utah County, Utah",Provo-Orem,122,347800,0.0095791,0.041317365,0.150893448,0.087078478,0.034816304,2018-12,2018-Q4,347800,0,2018-12
Kane County,IL,Illinois,"Kane County, Illinois",Chicago-Naperville-Elgin,123,229300,0.003501094,0.010577347,0.043695949,0.051128715,0.004377449,2007-02,2007-Q1,250700,-0.085360989,2004-12
Stanislaus County,CA,California,"Stanislaus County, California",Modesto,124,307000,0.005568293,0.014540648,0.065602221,0.099680412,0.053559337,2006-04,2006-Q2,372100,-0.17495297,2005-02
Camden County,NJ,New Jersey,"Camden County, New Jersey",Philadelphia-Camden-Wilmington,125,174400,0.004029937,0.013364323,0.064063453,0.029642939,-0.010236435,2007-04,2007-Q2,213900,-0.184665732,2005-04
Ramsey County,MN,Minnesota,"Ramsey County, Minnesota",Minneapolis-St. Paul-Bloomington,126,241100,0.005840634,0.01302521,0.041468683,0.063043043,0.023192881,2018-12,2018-Q4,241100,0,2018-12
Passaic County,NJ,New Jersey,"Passaic County, New Jersey",New York-Newark-Jersey City,127,338500,0.005346005,0.018351384,0.075627582,0.047580969,-0.001726476,2006-11,2006-Q4,405000,-0.164197531,2005-01
Chester County,PA,Pennsylvania,"Chester County, Pennsylvania",Philadelphia-Camden-Wilmington,128,346800,0.001733102,0.001733102,0.03708134,0.031072568,0.009985047,2018-12,2018-Q4,346800,0,2018-12
Sedgwick County,KS,Kansas,"Sedgwick County, Kansas",Wichita,129,136200,0.004424779,0.017176998,0.060747664,0.044225023,0.014361415,2018-12,2018-Q4,136200,0,2018-12
Lake County,IN,Indiana,"Lake County, Indiana",Chicago-Naperville-Elgin,130,145300,0.007628294,0.023960536,0.069168506,0.059759245,0.010800645,2018-12,2018-Q4,145300,0,2018-12
Plymouth County,MA,Massachusetts,"Plymouth County, Massachusetts",Boston-Cambridge-Newton,131,387200,0.005975578,0.019752436,0.061985738,0.058205495,0.026392933,2018-12,2018-Q4,387200,0,2018-12
Volusia County,FL,Florida,"Volusia County, Florida",Deltona-Daytona Beach-Ormond Beach,132,193700,0.007280291,0.017866527,0.068394926,0.10141844,0.02494456,2006-08,2006-Q3,229300,-0.155255124,2005-08
Morris County,NJ,New Jersey,"Morris County, New Jersey",New York-Newark-Jersey City,133,436600,0,0.002295684,0.025364021,0.024041568,0.001315004,2006-06,2006-Q2,490300,-0.109524781,2005-02
Guilford County,NC,North Carolina,"Guilford County, North Carolina",Greensboro-High Point,134,148600,0.00541272,0.025534852,0.08625731,0.051507065,0.015591461,2018-12,2018-Q4,148600,0,2018-12
Dane County,WI,Wisconsin,"Dane County, Wisconsin",Madison,135,270700,0.003335804,0.005945745,0.053307393,0.058728901,0.02630342,2018-12,2018-Q4,270700,0,2018-12
Sonoma County,CA,California,"Sonoma County, California",Santa Rosa,136,632700,-0.006126296,-0.010787992,0.021472393,0.077264503,0.044058986,2018-10,2018-Q4,640100,-0.011560694,2018-05
Spokane County,WA,Washington,"Spokane County, Washington",Spokane-Spokane Valley,137,237500,0.00422833,0.02414834,0.108776844,0.091074686,0.030891482,2018-12,2018-Q4,237500,0,2018-12
