Geography,County,state,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
"Indian River County, Florida",Indian River County, Florida,172600,4185
"Jackson County, Florida",Jackson County, Florida,94900,5815
"Jefferson County, Florida",Jefferson County, Florida,131700,24454
"Lafayette County, Florida",Lafayette County, Florida,101400,31087
"Lake County, Florida",Lake County, Florida,155100,1968
"Lee County, Florida",Lee County, Florida,190200,2576
"Leon County, Florida",Leon County, Florida,187400,2648
"Levy County, Florida",Levy County, Florida,88700,4972
"Liberty County, Florida",Liberty County, Florida,62400,6679
"Madison County, Florida",Madison County, Florida,87200,6784
"Manatee County, Florida",Manatee County, Florida,197200,4007
"Marion County, Florida",Marion County, Florida,119200,2694
"Martin County, Florida",Martin County, Florida,233000,7309
"Miami-Dade County, Florida",Miami-Dade County, Florida,242800,1689
"Monroe County, Florida",Monroe County, Florida,429000,15985
"Nassau County, Florida",Nassau County, Florida,203500,7382
"Okaloosa County, Florida",Okaloosa County, Florida,198700,3718
"Okeechobee County, Florida",Okeechobee County, Florida,89900,6478
"Orange County, Florida",Orange County, Florida,192400,2780
"Osceola County, Florida",Osceola County, Florida,164500,2740
"Palm Beach County, Florida",Palm Beach County, Florida,242500,1875
"Pasco County, Florida",Pasco County, Florida,134300,2328
"Pinellas County, Florida",Pinellas County, Florida,167100,1348
"Polk County, Florida",Polk County, Florida,121100,1726
"Putnam County, Florida",Putnam County, Florida,82800,2763
"St. Johns County, Florida",St. Johns County, Florida,274600,3934
"St. Lucie County, Florida",St. Lucie County, Florida,150700,3489
"Santa Rosa County, Florida",Santa Rosa County, Florida,170500,3014
"Sarasota County, Florida",Sarasota County, Florida,215300,3276
"Seminole County, Florida",Seminole County, Florida,201900,3707
"Sumter County, Florida",Sumter County, Florida,239800,5493
"Suwannee County, Florida",Suwannee County, Florida,92400,12385
"Taylor County, Florida",Taylor County, Florida,84900,5948
"Union County, Florida",Union County, Florida,89000,12968
"Volusia County, Florida",Volusia County, Florida,149900,2119
"Wakulla County, Florida",Wakulla County, Florida,133700,8132
"Walton County, Florida",Walton County, Florida,203100,12256
"Washington County, Florida",Washington County, Florida,102700,7297
"Appling County, Georgia",Appling County, Georgia,72100,8432
"Atkinson County, Georgia",Atkinson County, Georgia,62500,6246
"Bacon County, Georgia",Bacon County, Georgia,73200,11205
"Baker County, Georgia",Baker County, Georgia,79500,16286
"Baldwin County, Georgia",Baldwin County, Georgia,108800,8550
"Banks County, Georgia",Banks County, Georgia,128900,12174
"Barrow County, Georgia",Barrow County, Georgia,134300,2785
"Bartow County, Georgia",Bartow County, Georgia,140500,5117
"Ben Hill County, Georgia",Ben Hill County, Georgia,81200,5123
"Berrien County, Georgia",Berrien County, Georgia,86700,4948
"Bibb County, Georgia",Bibb County, Georgia,117300,3673
"Bleckley County, Georgia",Bleckley County, Georgia,98800,12750
"Brantley County, Georgia",Brantley County, Georgia,68200,7838
"Brooks County, Georgia",Brooks County, Georgia,92400,9150
"Bryan County, Georgia",Bryan County, Georgia,201700,9630
"Bulloch County, Georgia",Bulloch County, Georgia,131200,5331
"Burke County, Georgia",Burke County, Georgia,86500,5913
"Butts County, Georgia",Butts County, Georgia,121500,9076
"Calhoun County, Georgia",Calhoun County, Georgia,49000,7498
"Camden County, Georgia",Camden County, Georgia,154500,5973
"Candler County, Georgia",Candler County, Georgia,88600,8065
"Carroll County, Georgia",Carroll County, Georgia,119600,3220
"Catoosa County, Georgia",Catoosa County, Georgia,138800,3561
"Charlton County, Georgia",Charlton County, Georgia,82200,7415
"Chatham County, Georgia",Chatham County, Georgia,177900,4691
"Chattahoochee County, Georgia",Chattahoochee County, Georgia,81700,14285
"Chattooga County, Georgia",Chattooga County, Georgia,68500,7079
"Cherokee County, Georgia",Cherokee County, Georgia,220200,4395
"Clarke County, Georgia",Clarke County, Georgia,154600,4388
"Clay County, Georgia",Clay County, Georgia,59900,17319
"Clayton County, Georgia",Clayton County, Georgia,89400,1694
"Clinch County, Georgia",Clinch County, Georgia,63100,12983
"Cobb County, Georgia",Cobb County, Georgia,219700,2503
"Coffee County, Georgia",Coffee County, Georgia,87600,6315
"Colquitt County, Georgia",Colquitt County, Georgia,84500,4192
"Columbia County, Georgia",Columbia County, Georgia,183800,4027
"Cook County, Georgia",Cook County, Georgia,87800,6800
"Coweta County, Georgia",Coweta County, Georgia,190700,3896
"Crawford County, Georgia",Crawford County, Georgia,93300,11476
"Crisp County, Georgia",Crisp County, Georgia,83900,8231
"Dade County, Georgia",Dade County, Georgia,122500,8769
"Dawson County, Georgia",Dawson County, Georgia,202300,17352
"Decatur County, Georgia",Decatur County, Georgia,109800,8067
"DeKalb County, Georgia",DeKalb County, Georgia,176000,3081
"Dodge County, Georgia",Dodge County, Georgia,73400,6138
"Dooly County, Georgia",Dooly County, Georgia,83200,6703
"Dougherty County, Georgia",Dougherty County, Georgia,102100,4237
"Douglas County, Georgia",Douglas County, Georgia,140100,5046
"Early County, Georgia",Early County, Georgia,82700,9018
"Echols County, Georgia",Echols County, Georgia,57000,4246
"Effingham County, Georgia",Effingham County, Georgia,155500,3708
"Elbert County, Georgia",Elbert County, Georgia,81800,3996
"Emanuel County, Georgia",Emanuel County, Georgia,78500,8183
"Evans County, Georgia",Evans County, Georgia,83600,5190
"Fannin County, Georgia",Fannin County, Georgia,171500,7392
"Fayette County, Georgia",Fayette County, Georgia,255300,6440
"Floyd County, Georgia",Floyd County, Georgia,126600,4592
"Forsyth County, Georgia",Forsyth County, Georgia,301100,4316
"Franklin County, Georgia",Franklin County, Georgia,101600,11686
"Fulton County, Georgia",Fulton County, Georgia,268900,4507
"Gilmer County, Georgia",Gilmer County, Georgia,162400,6918
"Glascock County, Georgia",Glascock County, Georgia,66600,10779
"Glynn County, Georgia",Glynn County, Georgia,161200,6184
"Gordon County, Georgia",Gordon County, Georgia,119500,5887
"Grady County, Georgia",Grady County, Georgia,110500,7649
"Greene County, Georgia",Greene County, Georgia,175800,27464
"Gwinnett County, Georgia",Gwinnett County, Georgia,185200,1897
"Habersham County, Georgia",Habersham County, Georgia,137200,5693
"Hall County, Georgia",Hall County, Georgia,171900,2729
"Hancock County, Georgia",Hancock County, Georgia,66100,5635
"Haralson County, Georgia",Haralson County, Georgia,117000,10398
"Harris County, Georgia",Harris County, Georgia,194800,11211
"Hart County, Georgia",Hart County, Georgia,131200,10146
"Heard County, Georgia",Heard County, Georgia,100500,14080
"Henry County, Georgia",Henry County, Georgia,154900,2931
"Houston County, Georgia",Houston County, Georgia,135800,3947
"Irwin County, Georgia",Irwin County, Georgia,81200,9370
"Jackson County, Georgia",Jackson County, Georgia,163200,4785
"Jasper County, Georgia",Jasper County, Georgia,119700,9274
"Jeff Davis County, Georgia",Jeff Davis County, Georgia,77900,5995
"Jefferson County, Georgia",Jefferson County, Georgia,69200,5069
"Jenkins County, Georgia",Jenkins County, Georgia,59100,13581
"Johnson County, Georgia",Johnson County, Georgia,64200,5047
"Jones County, Georgia",Jones County, Georgia,124800,9106
"Lamar County, Georgia",Lamar County, Georgia,132400,10717
"Lanier County, Georgia",Lanier County, Georgia,102000,25287
"Laurens County, Georgia",Laurens County, Georgia,85000,4195
"Lee County, Georgia",Lee County, Georgia,156800,7148
"Liberty County, Georgia",Liberty County, Georgia,120500,3645
"Lincoln County, Georgia",Lincoln County, Georgia,115600,16873
