Geography,County,State,Latitude,Longitude
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska,55.3242244,-132.6044581
"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska,57.0530556,-135.33
"Skagway Municipality, Alaska",Skagway Municipality,Alaska,59.45540250000001,-135.315279
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska,63.9603869,-143.6296999
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,Alaska,61.4787707,-144.1147195
"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska,56.4708333,-132.3766666
"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska,59.5469878,-139.7272808
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska,65.8443666,-153.4302993
"Apache County, Arizona",Apache County,Arizona,35.5313224,-109.3783206
"Cochise County, Arizona",Cochise County,Arizona,31.82845799999999,-109.949686
"Coconino County, Arizona",Coconino County,Arizona,35.6647545,-111.4752851
"Gila County, Arizona",Gila County,Arizona,33.6370567,-110.5215459
"Graham County, Arizona",Graham County,Arizona,33.076805,-109.7591675
"Greenlee County, Arizona",Greenlee County,Arizona,33.2405598,-109.2831531
"La Paz County, Arizona",La Paz County,Arizona,34.0061091,-113.9536466
"Maricopa County, Arizona",Maricopa County,Arizona,33.2917968,-112.4291464
"Mohave County, Arizona",Mohave County,Arizona,35.2143346,-113.7632828
"Navajo County, Arizona",Navajo County,Arizona,35.4019765,-110.1402594
"Pima County, Arizona",Pima County,Arizona,32.057499,-111.6660725
"Pinal County, Arizona",Pinal County,Arizona,32.8162061,-111.2845025
"Santa Cruz County, Arizona",Santa Cruz County,Arizona,31.5986127,-110.8076084
"Yavapai County, Arizona",Yavapai County,Arizona,34.6463981,-112.4291464
"Yuma County, Arizona",Yuma County,Arizona,32.6527533,-113.9536466
"Arkansas County, Arkansas",Arkansas County,Arkansas,34.2354138,-91.28910359999999
"Ashley County, Arkansas",Ashley County,Arkansas,33.1565939,-91.7538817
"Baxter County, Arkansas",Baxter County,Arkansas,36.3261815,-92.38136209999999
"Benton County, Arkansas",Benton County,Arkansas,36.2661518,-94.479976
"Boone County, Arkansas",Boone County,Arkansas,36.3118662,-93.0175712
"Bradley County, Arkansas",Bradley County,Arkansas,33.5081368,-92.2236667
"Calhoun County, Arkansas",Calhoun County,Arkansas,33.5020885,-92.539603
"Carroll County, Arkansas",Carroll County,Arkansas,36.2987495,-93.5003454
"Chicot County, Arkansas",Chicot County,Arkansas,33.3419551,-91.28910359999999
"Clark County, Arkansas",Clark County,Arkansas,34.0232374,-93.17796589999999
"Clay County, Arkansas",Clay County,Arkansas,36.3492244,-90.37483540000001
"Cleburne County, Arkansas",Cleburne County,Arkansas,35.4605769,-92.0665197
"Cleveland County, Arkansas",Cleveland County,Arkansas,33.86580070000001,-92.2236667
"Columbia County, Arkansas",Columbia County,Arkansas,33.1285176,-93.17796589999999
"Conway County, Arkansas",Conway County,Arkansas,35.2727492,-92.6983868
"Craighead County, Arkansas",Craighead County,Arkansas,35.8260959,-90.6773046
"Crawford County, Arkansas",Crawford County,Arkansas,35.5762761,-94.315422
"Crittenden County, Arkansas",Crittenden County,Arkansas,35.3021443,-90.37483540000001
"Cross County, Arkansas",Cross County,Arkansas,35.2998913,-90.8294002
"Dallas County, Arkansas",Dallas County,Arkansas,34.0346533,-92.6983868
"Desha County, Arkansas",Desha County,Arkansas,33.8773585,-91.44346900000001
"Drew County, Arkansas",Drew County,Arkansas,33.5156463,-91.7538817
"Faulkner County, Arkansas",Faulkner County,Arkansas,35.1035858,-92.38136209999999
"Franklin County, Arkansas",Franklin County,Arkansas,35.5927966,-93.8248241
"Fulton County, Arkansas",Fulton County,Arkansas,36.3797374,-91.7928402
"Garland County, Arkansas",Garland County,Arkansas,34.5559285,-93.17796589999999
"Grant County, Arkansas",Grant County,Arkansas,34.2628015,-92.4208713
"Greene County, Arkansas",Greene County,Arkansas,36.1314931,-90.563609
"Hempstead County, Arkansas",Hempstead County,Arkansas,33.6530112,-93.66232389999999
"Hot Spring County, Arkansas",Hot Spring County,Arkansas,34.3393795,-92.97755579999999
"Howard County, Arkansas",Howard County,Arkansas,34.1318213,-94.028678
"Independence County, Arkansas",Independence County,Arkansas,35.8174139,-91.5983959
"Izard County, Arkansas",Izard County,Arkansas,36.1610924,-91.9099238
"Jackson County, Arkansas",Jackson County,Arkansas,35.6479574,-91.13530200000001
"Jefferson County, Arkansas",Jefferson County,Arkansas,34.227351,-91.9099238
"Johnson County, Arkansas",Johnson County,Arkansas,35.6026275,-93.5003454
"Lafayette County, Arkansas",Lafayette County,Arkansas,33.2511695,-93.62178019999999
"Lawrence County, Arkansas",Lawrence County,Arkansas,35.9969735,-91.13530200000001
"Lee County, Arkansas",Lee County,Arkansas,34.7712669,-90.8294002
"Lincoln County, Arkansas",Lincoln County,Arkansas,33.9185116,-91.714958
"Little River County, Arkansas",Little River County,Arkansas,60.907072,-135.681783
"Logan County, Arkansas",Logan County,Arkansas,35.2475011,-93.66232389999999
"Lonoke County, Arkansas",Lonoke County,Arkansas,34.7591647,-91.9099238
"Madison County, Arkansas",Madison County,Arkansas,35.9466415,-93.66232389999999
"Marion County, Arkansas",Marion County,Arkansas,36.3194702,-92.6983868
"Miller County, Arkansas",Miller County,Arkansas,33.3335556,-93.86553029999999
"Mississippi County, Arkansas",Mississippi County,Arkansas,35.8279728,-90.0746767
"Monroe County, Arkansas",Monroe County,Arkansas,34.5918747,-91.13530200000001
"Montgomery County, Arkansas",Montgomery County,Arkansas,34.5424074,-93.66232389999999
"Nevada County, Arkansas",Nevada County,Arkansas,33.6621386,-93.33889169999999
"Newton County, Arkansas",Newton County,Arkansas,35.9603994,-93.17796589999999
"Ouachita County, Arkansas",Ouachita County,Arkansas,33.5828512,-92.9375739
"Perry County, Arkansas",Perry County,Arkansas,34.96032,-92.8976254
"Phillips County, Arkansas",Phillips County,Arkansas,34.4611206,-90.86751339999999
"Pike County, Arkansas",Pike County,Arkansas,34.1876975,-93.66232389999999
"Poinsett County, Arkansas",Poinsett County,Arkansas,35.6078586,-90.6393702
"Polk County, Arkansas",Polk County,Arkansas,34.5268097,-94.15137639999999
"Pope County, Arkansas",Pope County,Arkansas,35.440627,-93.0175712
"Prairie County, Arkansas",Prairie County,Arkansas,34.7636336,-91.5983959
"Pulaski County, Arkansas",Pulaski County,Arkansas,34.75386150000001,-92.2236667
"Randolph County, Arkansas",Randolph County,Arkansas,36.3457918,-90.9820668
"St. Francis County, Arkansas",St. Francis County,Arkansas,34.9926533,-90.7152749
"Saline County, Arkansas",Saline County,Arkansas,34.5708215,-92.539603
"Scott County, Arkansas",Scott County,Arkansas,34.8854732,-93.9878427
"Searcy County, Arkansas",Searcy County,Arkansas,35.9721,-92.6983868
"Sebastian County, Arkansas",Sebastian County,Arkansas,35.2260397,-94.315422
"Sevier County, Arkansas",Sevier County,Arkansas,34.0346222,-94.27436279999999
"Sharp County, Arkansas",Sharp County,Arkansas,36.16759740000001,-91.44346900000001
"Stone County, Arkansas",Stone County,Arkansas,35.8075142,-92.2236667
"Union County, Arkansas",Union County,Arkansas,33.1431092,-92.539603
"Van Buren County, Arkansas",Van Buren County,Arkansas,35.6266232,-92.539603
"Washington County, Arkansas",Washington County,Arkansas,35.9307703,-94.15137639999999
"White County, Arkansas",White County,Arkansas,35.2900612,-91.7538817
"Woodruff County, Arkansas",Woodruff County,Arkansas,35.1215846,-91.13530200000001
"Yell County, Arkansas",Yell County,Arkansas,35.0810824,-93.33889169999999
"Alameda County, California",Alameda County,California,37.6016892,-121.7195459
"Alpine County, California",Alpine County,California,38.5940736,-119.8815203
"Amador County, California",Amador County,California,38.3488921,-120.7740931
"Butte County, California",Butte County,California,39.6253952,-121.5370003
"Calaveras County, California",Calaveras County,California,38.1960477,-120.6805037
"Colusa County, California",Colusa County,California,39.1040645,-122.2653887
"Contra Costa County, California",Contra Costa County,California,37.8534093,-121.9017954
"Del Norte County, California",Del Norte County,California,41.7076287,-123.9659708
"El Dorado County, California",El Dorado County,California,38.74263759999999,-120.4357631
"Fresno County, California",Fresno County,California,36.9858984,-119.2320784
"Glenn County, California",Glenn County,California,39.6437813,-122.4467238
"Humboldt County, California",Humboldt County,California,40.7450055,-123.8695086
"Imperial County, California",Imperial County,California,33.0113694,-115.4733554
"Inyo County, California",Inyo County,California,36.3091865,-117.5495846
"Kern County, California",Kern County,California,35.4937274,-118.8596804
"Kings County, California",Kings County,California,36.0988489,-119.8815203
"Lake County, California",Lake County,California,39.08396440000001,-122.8084496
"Lassen County, California",Lassen County,California,40.5394389,-120.7120023
"Los Angeles County, California",Los Angeles County,California,34.0522265,-118.2436596
"Madera County, California",Madera County,California,37.251926,-119.6962677
"Marin County, California",Marin County,California,38.083403,-122.7633036
"Mariposa County, California",Mariposa County,California,37.4893626,-119.9679294
"Mendocino County, California",Mendocino County,California,39.5500194,-123.438353
"Merced County, California",Merced County,California,37.2009788,-120.7120023
"Modoc County, California",Modoc County,California,41.4565165,-120.629366
"Mono County, California",Mono County,California,37.9218608,-118.9528645
"Monterey County, California",Monterey County,California,36.3136201,-121.3541631
"Napa County, California",Napa County,California,38.5024689,-122.2653887
"Nevada County, California",Nevada County,California,39.1346666,-121.1710389
"Orange County, California",Orange County,California,33.7174708,-117.8311428
"Placer County, California",Placer County,California,39.0915751,-120.8039474
"Plumas County, California",Plumas County,California,39.99268319999999,-120.8039474
"Riverside County, California",Riverside County,California,33.9532966,-117.3961192
"Sacramento County, California",Sacramento County,California,38.47467,-121.3541631
"San Benito County, California",San Benito County,California,36.5760883,-120.9876321
"San Bernardino County, California",San Bernardino County,California,34.9592083,-116.419389
"San Diego County, California",San Diego County,California,32.7157305,-117.1610966
"San Francisco County, California",San Francisco County,California,37.7749295,-122.4194155
"San Joaquin County, California",San Joaquin County,California,37.9175935,-121.1710389
"San Luis Obispo County, California",San Luis Obispo County,California,35.3102296,-120.4357631
"San Mateo County, California",San Mateo County,California,37.4337342,-122.4014193
"Santa Barbara County, California",Santa Barbara County,California,34.4208321,-119.6982057
"Santa Clara County, California",Santa Clara County,California,37.3336581,-121.8907041
"Santa Cruz County, California",Santa Cruz County,California,37.0453988,-121.9579578
"Shasta County, California",Shasta County,California,40.7908864,-121.8474493
"Sierra County, California",Sierra County,California,39.5532845,-120.2512728
"Siskiyou County, California",Siskiyou County,California,41.7743261,-122.5770126
"Solano County, California",Solano County,California,38.3104969,-121.9017954
"Sonoma County, California",Sonoma County,California,38.5779555,-122.9888319
"Stanislaus County, California",Stanislaus County,California,37.5090711,-120.9876321
"Sutter County, California",Sutter County,California,39.0219764,-121.6739371
"Tehama County, California",Tehama County,California,40.0982197,-122.174605
"Trinity County, California",Trinity County,California,40.6329485,-123.0622553
"Tulare County, California",Tulare County,California,36.1341739,-118.8596804
"Tuolumne County, California",Tuolumne County,California,38.029655,-119.9740534
"Ventura County, California",Ventura County,California,34.3704884,-119.1390642
"Yolo County, California",Yolo County,California,38.7646021,-121.9017954
"Yuba County, California",Yuba County,California,39.2547027,-121.3998995
"Adams County, Colorado",Adams County,Colorado,39.8398269,-104.1930918
"Alamosa County, Colorado",Alamosa County,Colorado,37.654039,-105.876004
"Arapahoe County, Colorado",Arapahoe County,Colorado,39.62031,-104.332644
"Archuleta County, Colorado",Archuleta County,Colorado,37.1604318,-107.0067031
"Baca County, Colorado",Baca County,Colorado,37.394731,-102.5298028
"Bent County, Colorado",Bent County,Colorado,38.0036339,-103.0817903
"Boulder County, Colorado",Boulder County,Colorado,40.1512114,-105.5005483
"Broomfield County, Colorado",Broomfield County,Colorado,39.9205411,-105.0866504
"Chaffee County, Colorado",Chaffee County,Colorado,38.7536679,-106.2522143
"Cheyenne County, Colorado",Cheyenne County,Colorado,38.8002562,-102.6216211
"Clear Creek County, Colorado",Clear Creek County,Colorado,39.6904464,-105.6412527
"Conejos County, Colorado",Conejos County,Colorado,37.2689711,-106.2522143
"Costilla County, Colorado",Costilla County,Colorado,37.2049596,-105.5005483
"Crowley County, Colorado",Crowley County,Colorado,38.2498631,-103.8216261
"Custer County, Colorado",Custer County,Colorado,38.0615578,-105.3131185
"Delta County, Colorado",Delta County,Colorado,38.8531357,-107.763621
"Denver County, Colorado",Denver County,Colorado,39.7392358,-104.990251
"Dolores County, Colorado",Dolores County,Colorado,37.7530272,-108.5225709
"Douglas County, Colorado",Douglas County,Colorado,39.2587106,-104.9388853
"Eagle County, Colorado",Eagle County,Colorado,39.576406,-106.7234639
"Elbert County, Colorado",Elbert County,Colorado,39.35370040000001,-104.1930918
"El Paso County, Colorado",El Paso County,Colorado,38.9108325,-104.4723301
"Fremont County, Colorado",Fremont County,Colorado,38.5306514,-105.5005483
"Garfield County, Colorado",Garfield County,Colorado,39.6584775,-107.763621
"Gilpin County, Colorado",Gilpin County,Colorado,39.8770159,-105.4536718
"Grand County, Colorado",Grand County,Colorado,40.0727382,-106.0640179
"Gunnison County, Colorado",Gunnison County,Colorado,38.6437083,-107.0067031
"Hinsdale County, Colorado",Hinsdale County,Colorado,37.9316309,-107.3848831
"Huerfano County, Colorado",Huerfano County,Colorado,37.6125984,-104.9388853
"Jackson County, Colorado",Jackson County,Colorado,40.6819242,-106.2522143
"Jefferson County, Colorado",Jefferson County,Colorado,39.5800298,-105.2662931
"Kiowa County, Colorado",Kiowa County,Colorado,38.3769671,-102.7135121
"Kit Carson County, Colorado",Kit Carson County,Colorado,39.3844507,-102.5298028
"Lake County, Colorado",Lake County,Colorado,39.1941167,-106.2992912
"La Plata County, Colorado",La Plata County,Colorado,37.2125857,-107.763621
"Larimer County, Colorado",Larimer County,Colorado,40.6955572,-105.5943388
"Las Animas County, Colorado",Las Animas County,Colorado,37.2994909,-104.1001326
"Lincoln County, Colorado",Lincoln County,Colorado,39.0457549,-103.3587288
"Logan County, Colorado",Logan County,Colorado,40.7056181,-102.989615
"Mesa County, Colorado",Mesa County,Colorado,38.9585381,-108.6175626
"Mineral County, Colorado",Mineral County,Colorado,37.6583677,-107.0067031
"Moffat County, Colorado",Moffat County,Colorado,40.6138379,-108.2377519
"Montezuma County, Colorado",Montezuma County,Colorado,37.3257517,-108.6175626
"Montrose County, Colorado",Montrose County,Colorado,38.468304,-108.1428669
"Morgan County, Colorado",Morgan County,Colorado,40.2989226,-103.7289167
"Otero County, Colorado",Otero County,Colorado,37.9397663,-103.6362715
"Ouray County, Colorado",Ouray County,Colorado,38.2016133,-107.763621
"Park County, Colorado",Park County,Colorado,39.0897928,-105.5943388
"Phillips County, Colorado",Phillips County,Colorado,40.53713339999999,-102.3463875
"Pitkin County, Colorado",Pitkin County,Colorado,39.159101,-106.8178377
"Prowers County, Colorado",Prowers County,Colorado,37.84337560000001,-102.2547919
"Pueblo County, Colorado",Pueblo County,Colorado,38.2528534,-104.4723301
"Rio Blanco County, Colorado",Rio Blanco County,Colorado,39.9814297,-108.2377519
"Rio Grande County, Colorado",Rio Grande County,Colorado,37.5749508,-106.4405872
"Routt County, Colorado",Routt County,Colorado,40.4771623,-107.1011931
"Saguache County, Colorado",Saguache County,Colorado,38.0019623,-106.3463791
"San Juan County, Colorado",San Juan County,Colorado,37.7573704,-107.71625
"San Miguel County, Colorado",San Miguel County,Colorado,37.9781237,-108.1428669
"Sedgwick County, Colorado",Sedgwick County,Colorado,40.8568843,-102.3463875
"Summit County, Colorado",Summit County,Colorado,39.5911871,-106.0640179
"Teller County, Colorado",Teller County,Colorado,38.86115789999999,-105.1726816
"Washington County, Colorado",Washington County,Colorado,40.063745,-102.989615
"Weld County, Colorado",Weld County,Colorado,40.3920718,-104.7158226
"Yuma County, Colorado",Yuma County,Colorado,40.1448234,-102.2547919
"Fairfield County, Connecticut",Fairfield County,Connecticut,41.2559654,-73.37086959999999
"Hartford County, Connecticut",Hartford County,Connecticut,41.7924343,-72.8042797
"Litchfield County, Connecticut",Litchfield County,Connecticut,41.7866294,-73.2765361
"Middlesex County, Connecticut",Middlesex County,Connecticut,41.46985050000001,-72.4731529
"New Haven County, Connecticut",New Haven County,Connecticut,41.3266911,-72.8042797
"New London County, Connecticut",New London County,Connecticut,41.5185189,-72.0468164
"Tolland County, Connecticut",Tolland County,Connecticut,41.8418987,-72.37846789999999
"Windham County, Connecticut",Windham County,Connecticut,41.8275622,-72.0468164
"Kent County, Delaware",Kent County,Delaware,39.1440612,-75.4344727
"New Castle County, Delaware",New Castle County,Delaware,39.5392979,-75.667356
"Sussex County, Delaware",Sussex County,Delaware,38.65308410000001,-75.4344727
"District of Columbia, District of Columbia",District of Columbia,District of Columbia,38.9071923,-77.0368707
"Alachua County, Florida",Alachua County,Florida,29.6579549,-82.3017728
"Baker County, Florida",Baker County,Florida,30.3931168,-82.3017728
"Bay County, Florida",Bay County,Florida,30.1805306,-85.684578
"Bradford County, Florida",Bradford County,Florida,29.97238179999999,-82.1713632
"Brevard County, Florida",Brevard County,Florida,28.263933,-80.7214417
"Broward County, Florida",Broward County,Florida,26.190096,-80.365865
"Calhoun County, Florida",Calhoun County,Florida,30.3475302,-85.1894045
"Charlotte County, Florida",Charlotte County,Florida,26.8946009,-81.909826
"Citrus County, Florida",Citrus County,Florida,28.8848842,-82.5185837
"Clay County, Florida",Clay County,Florida,29.9943564,-81.77870209999999
"Collier County, Florida",Collier County,Florida,26.069985,-81.42789839999999
"Columbia County, Florida",Columbia County,Florida,30.1812696,-82.605118
"DeSoto County, Florida",DeSoto County,Florida,27.2142078,-81.77870209999999
"Dixie County, Florida",Dixie County,Florida,29.5207227,-83.1649001
"Duval County, Florida",Duval County,Florida,30.3500511,-81.6035062
"Escambia County, Florida",Escambia County,Florida,30.6389408,-87.3413599
"Flagler County, Florida",Flagler County,Florida,29.4086072,-81.2518833
"Franklin County, Florida",Franklin County,Florida,29.7817695,-84.8567932
"Gadsden County, Florida",Gadsden County,Florida,30.5562947,-84.6479124
"Gilchrist County, Florida",Gilchrist County,Florida,29.6871128,-82.82097399999999
"Glades County, Florida",Glades County,Florida,26.984415,-81.0754657
"Gulf County, Florida",Gulf County,Florida,29.8001623,-85.35496499999999
"Hamilton County, Florida",Hamilton County,Florida,30.47559579999999,-82.95015579999999
"Hardee County, Florida",Hardee County,Florida,27.4501733,-81.8224362
"Hendry County, Florida",Hendry County,Florida,26.6105319,-81.0754657
"Hernando County, Florida",Hernando County,Florida,28.5578826,-82.4752757
"Highlands County, Florida",Highlands County,Florida,27.3400286,-81.34002679999999
"Hillsborough County, Florida",Hillsborough County,Florida,27.9903597,-82.3017728
"Holmes County, Florida",Holmes County,Florida,30.8740806,-85.80766
"Indian River County, Florida",Indian River County,Florida,27.6947732,-80.54384499999999
"Jackson County, Florida",Jackson County,Florida,30.7150882,-85.1894045
"Jefferson County, Florida",Jefferson County,Florida,30.4311978,-83.8897057
"Lafayette County, Florida",Lafayette County,Florida,30.0299573,-83.2077645
"Lake County, Florida",Lake County,Florida,28.702847,-81.77870209999999
"Lee County, Florida",Lee County,Florida,26.6630286,-81.9534815
"Leon County, Florida",Leon County,Florida,30.4906177,-84.1857115
"Levy County, Florida",Levy County,Florida,29.3178545,-82.82097399999999
"Liberty County, Florida",Liberty County,Florida,30.1507777,-84.8567932
"Madison County, Florida",Madison County,Florida,30.4586334,-83.5070203
"Manatee County, Florida",Manatee County,Florida,27.4799195,-82.34518899999999
"Marion County, Florida",Marion County,Florida,29.2787765,-82.12783999999999
"Martin County, Florida",Martin County,Florida,27.0804935,-80.4103957
"Miami-Dade County, Florida",Miami-Dade County,Florida,25.5516034,-80.6326916
"Monroe County, Florida",Monroe County,Florida,24.5557001,-81.78259849999999
"Nassau County, Florida",Nassau County,Florida,30.5927334,-81.8224362
"Okaloosa County, Florida",Okaloosa County,Florida,30.57734009999999,-86.6611083
"Okeechobee County, Florida",Okeechobee County,Florida,27.3462015,-80.89865019999999
"Orange County, Florida",Orange County,Florida,28.4844995,-81.2518833
"Osceola County, Florida",Osceola County,Florida,28.1019838,-81.0754657
"Palm Beach County, Florida",Palm Beach County,Florida,26.6514503,-80.2767327
"Pasco County, Florida",Pasco County,Florida,28.3232418,-82.4319405
"Pinellas County, Florida",Pinellas County,Florida,27.876394,-82.7778579
"Polk County, Florida",Polk County,Florida,27.8617347,-81.6911559
"Putnam County, Florida",Putnam County,Florida,29.6265157,-81.77870209999999
"St. Johns County, Florida",St. Johns County,Florida,29.9719419,-81.42789839999999
"St. Lucie County, Florida",St. Lucie County,Florida,27.3225563,-80.54384499999999
"Santa Rosa County, Florida",Santa Rosa County,Florida,30.7689907,-86.9824288
"Sarasota County, Florida",Sarasota County,Florida,27.1995986,-82.34518899999999
"Seminole County, Florida",Seminole County,Florida,28.7131688,-81.20781640000001
"Sumter County, Florida",Sumter County,Florida,28.6747526,-82.08429009999999
"Suwannee County, Florida",Suwannee County,Florida,30.24850959999999,-82.99316069999999
